City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,fale old settlement,-9.3852,-171.2468,28.7,77,84,8.36,TK,1697501395
149,san luis de la loma,17.2706,-100.8939,26.46,89,89,2.48,MX,1697501395
150,tofol,5.3248,163.0078,28.88,74,100,1.03,FM,1697501395
151,usinsk,65.9939,57.5281,2.26,99,100,7.15,RU,1697501395
152,tocopilla,-22.092,-70.1979,18.41,73,30,2.12,CL,1697501395
153,thompson,55.7435,-97.8558,7.51,82,86,2.19,CA,1697501368
154,astrakhan,46.3497,48.0408,11.61,72,0,4.02,RU,1697501395
155,namtsy,62.7161,129.6658,-3.87,62,100,4.63,RU,1697501396
156,lihue,21.9789,-159.3672,28.77,68,20,4.12,US,1697501223
157,usogorsk,63.4106,48.6872,3.15,87,100,1.65,RU,1697501396
158,trondheim,63.4305,10.3951,7.05,96,100,0.89,NO,1697501396
159,songling,31.1933,120.7176,19.62,69,0,1.92,CN,1697501396
160,vadso,70.0744,29.7487,2.49,80,20,6.69,NO,1697501396
161,bredasdorp,-34.5322,20.0403,14.26,92,17,2.99,ZA,1697501397
162,east london,-33.0153,27.9116,16.85,81,85,5.99,ZA,1697501397
163,selfoss,63.9331,-20.9971,3.36,85,100,2.39,IS,1697501397
164,touros,-5.1989,-35.4608,25.33,75,46,8.69,BR,1697501397
165,taoudenni,22.6783,-3.9836,29.74,16,91,3.0,ML,1697501397
166,quelimane,-17.8786,36.8883,24.78,89,94,3.74,MZ,1697501397
167,gadzhiyevo,69.2551,33.3362,3.39,76,100,12.01,RU,1697501398
168,smithers,54.7804,-127.1743,8.19,95,100,0.44,CA,1697501398
169,hithadhoo,-0.6,73.0833,26.95,73,56,7.72,MV,1697501398
170,port blair,11.6667,92.75,26.02,94,40,1.03,IN,1697501398
171,sheridan,44.8333,-106.9173,20.39,45,0,2.57,US,1697501398
172,itaituba,-4.2761,-55.9836,29.27,48,96,1.88,BR,1697501398
173,harper,4.375,-7.7169,24.71,89,99,3.57,LR,1697501361
174,axim,4.8699,-2.2405,24.45,90,65,3.26,GH,1697501399
175,nizhniy kuranakh,58.8353,125.4869,-2.38,70,100,0.78,RU,1697501399
176,prince rupert,54.3161,-130.3201,11.37,93,100,2.71,CA,1697501399
177,santanyi,39.3546,3.1291,19.34,75,95,2.45,ES,1697501399
178,callao,-12.0667,-77.15,20.4,77,100,4.63,PE,1697501399
179,crucecita,-28.95,-58.9833,23.13,93,75,6.62,AR,1697501399
180,ironwood,46.4547,-90.171,7.12,81,100,0.0,US,1697501399
181,iskateley,67.6803,53.1512,1.12,89,100,4.02,RU,1697501400
182,tiksi,71.6872,128.8694,-12.68,93,95,3.28,RU,1697501400
183,itupiranga,-5.1347,-49.3267,26.18,63,81,0.89,BR,1697501401
184,port hedland,-20.3167,118.5667,32.03,7,0,6.69,AU,1697501401
185,sandnessjoen,66.0217,12.6316,0.29,72,93,3.69,NO,1697501402
186,new mirpur,33.1418,73.7674,16.33,76,100,1.43,PK,1697501403
187,swakopmund,-22.6833,14.5333,13.32,88,6,1.34,NA,1697501403
188,flying fish cove,-10.4217,105.6791,26.82,89,75,5.14,CX,1697501404
189,greymouth,-42.4667,171.2,10.82,86,100,1.3,NZ,1697501370
190,hasaki,35.7333,140.8333,20.16,63,0,4.57,JP,1697501407
191,katsuura,35.1333,140.3,20.3,67,0,2.87,JP,1697501407
192,carnarvon,-24.8667,113.6333,26.78,39,0,4.7,AU,1697501407
193,champerico,14.3,-91.9167,25.07,88,98,1.02,GT,1697501407
194,vila franca do campo,37.7167,-25.4333,20.49,99,94,4.39,PT,1697501408
195,chonchi,-42.6128,-73.8092,8.95,91,6,1.89,CL,1697501408
196,eraan,9.0629,117.7016,27.91,75,83,1.55,PH,1697501325
197,tadine,-21.55,167.8833,23.67,78,63,5.16,NC,1697501409
198,portland,45.5234,-122.6762,18.45,92,100,4.02,US,1697500754
199,berezovyy,51.6667,135.7,3.49,92,96,0.77,RU,1697501409
200,charlottetown,46.2352,-63.1267,9.32,96,100,7.15,CA,1697501302
201,shimoda,34.6667,138.95,22.28,67,1,1.98,JP,1697501161
202,ocean city,39.2776,-74.5746,14.01,79,75,0.45,US,1697501270
203,borzya,50.3833,116.5167,4.11,65,56,7.63,RU,1697501409
204,gobernador roca,-27.1864,-55.4643,23.33,88,98,5.72,AR,1697501410
205,marovoay,-16.1,46.6333,25.09,88,61,0.73,MG,1697501410
206,oamaru,-45.0784,170.9801,9.16,75,100,1.16,NZ,1697501410
207,hotan,37.0997,79.9269,15.32,22,100,1.87,CN,1697501410
208,polyarnyy,69.1989,33.4478,3.44,79,100,11.7,RU,1697501411
209,xining,36.6167,101.7667,5.08,84,100,1.22,CN,1697501411
210,saynshand,44.8824,110.1163,8.51,37,100,6.34,MN,1697501411
211,roccella ionica,38.322,16.4009,21.14,81,91,1.18,IT,1697501411
212,anadyr,64.75,177.4833,-1.72,79,20,5.0,RU,1697501412
213,northam,51.0333,-4.2167,9.78,84,100,8.89,GB,1697501412
214,leh,34.1667,77.5833,2.25,67,98,1.44,IN,1697501218
215,san andres,12.5847,-81.7006,26.01,94,40,2.57,CO,1697501121
216,sao paulo de olivenca,-3.3783,-68.8725,23.11,98,82,1.12,BR,1697501412
217,ancud,-41.8697,-73.8203,7.67,85,14,2.39,CL,1697501413
218,la maddalena,41.2142,9.4083,17.03,79,100,2.42,IT,1697501413
219,haiku-pauwela,20.9219,-156.3051,29.01,64,40,9.77,US,1697501413
220,antsiranana,-12.2787,49.2917,22.94,82,22,2.83,MG,1697501413
221,gowurdak,37.8124,66.0466,12.88,36,0,1.1,TM,1697501413
222,kaisiadorys,54.8667,24.45,1.94,83,4,3.33,LT,1697501414
223,neftegorsk,52.802,51.166,9.66,42,61,8.96,RU,1697501414
224,diffa,13.3154,12.6113,28.42,33,38,2.5,NE,1697501414
225,pangody,65.85,74.4859,-0.15,95,100,2.69,RU,1697501414
226,fasa,28.9383,53.6482,17.81,39,0,0.98,IR,1697501414
227,kavarna,43.4333,28.3333,3.6,52,27,2.07,BG,1697501414
228,tari,12.4086,4.4914,28.39,50,99,3.16,NG,1697501415
229,inari,68.906,27.0288,0.11,92,52,2.29,FI,1697501415
230,al wakrah,24.85,51.3333,27.05,75,0,2.7,QA,1697501415
231,gagliano del capo,39.8442,18.3695,16.56,55,79,2.5,IT,1697501415
232,prince george,53.9166,-122.753,9.58,92,100,1.34,CA,1697501239
233,remire-montjoly,4.9167,-52.2667,28.02,83,0,2.06,GF,1697501416
234,yatou,37.15,122.3833,15.04,51,0,1.53,CN,1697501416
235,woolgoolga,-30.1106,153.2007,21.13,47,0,8.48,AU,1697501416
236,kapuskasing,49.4169,-82.4331,3.3,94,65,1.7,CA,1697501416
237,kegeyli shahar,42.7767,59.6078,5.05,34,0,4.24,UZ,1697501416
238,lata,40.1629,-8.3327,22.82,77,97,6.73,PT,1697501416
239,neufchateau,48.35,5.7,5.3,65,89,1.89,FR,1697501417
240,sao felix do xingu,-6.6447,-51.995,27.9,57,97,0.87,BR,1697501135
241,hit,33.6416,42.8251,22.23,41,7,3.83,IQ,1697501417
242,dikwa,12.024,13.9165,28.46,52,29,2.69,NG,1697501417
243,isara,6.9928,3.6819,23.23,96,90,1.48,NG,1697501417
244,saudarkrokur,65.7461,-19.6394,0.7,84,100,1.37,IS,1697501417
245,jamestown,42.097,-79.2353,9.29,98,100,2.57,US,1697501355
246,linxia chengguanzhen,35.6003,103.2064,6.08,90,100,1.47,CN,1697501418
247,tikhvin,59.6451,33.5294,1.72,86,35,3.13,RU,1697501418
248,tindouf,27.6711,-8.1474,26.52,21,12,2.13,DZ,1697501418
249,campo maior,-4.8278,-42.1686,29.34,45,61,1.5,BR,1697501418
250,tegueste,28.5167,-16.3167,24.64,36,0,3.58,ES,1697501418
251,hovd,48.0056,91.6419,0.56,44,3,1.95,MN,1697501419
252,jiwani,25.05,61.7417,27.05,77,73,2.93,PK,1697501419
253,tromso,69.6496,18.957,1.01,80,20,1.03,NO,1697501419
254,fada,9.5667,8.3,21.48,86,100,0.14,NG,1697501419
255,ma'rib,15.4591,45.3253,22.46,23,50,2.33,YE,1697501419
256,puerto escondido,15.85,-97.0667,30.46,48,40,2.57,MX,1697501419
257,kenora,49.8167,-94.4337,10.99,66,2,1.34,CA,1697501420
258,queenstown,-31.8976,26.8753,10.11,93,96,2.39,ZA,1697501420
259,port douglas,-16.4833,145.4667,25.41,56,48,2.34,AU,1697501420
260,turpan,42.9333,89.1667,14.13,34,1,2.66,CN,1697501420
261,cabo san lucas,22.8909,-109.9124,32.17,66,0,2.06,MX,1697501240
262,zemio,5.0314,25.1361,20.28,97,100,0.97,CF,1697501421
263,keyser,39.4409,-78.9739,11.86,80,100,2.96,US,1697501421
264,la'ie,21.6477,-157.9253,31.14,70,80,4.39,US,1697501421
265,demopolis,32.5176,-87.8364,13.97,62,0,0.0,US,1697501210
266,machico,32.7,-16.7667,24.84,80,20,3.09,PT,1697501422
267,newport beach,33.6189,-117.9289,35.42,68,20,2.24,US,1697501422
268,norak,38.3892,69.3227,9.84,67,73,1.94,TJ,1697501175
269,sao jose da coroa grande,-8.8978,-35.1478,23.94,81,62,3.94,BR,1697501422
270,moranbah,-22.0016,148.0466,30.28,25,11,5.78,AU,1697501422
271,sumenep,-7.0167,113.8667,28.8,67,55,5.15,ID,1697501423
272,karacabey,40.2152,28.4038,13.5,80,92,2.16,TR,1697501423
273,ilhabela,-23.7781,-45.3581,22.81,96,83,3.12,BR,1697501222
274,lakhipur,26.0299,90.3041,21.21,92,1,1.92,IN,1697501423
275,iwaki,37.05,140.8833,20.07,59,11,1.34,JP,1697501424
276,geraldton,-28.7667,114.6,23.23,73,40,2.57,AU,1697501424
277,guerrero negro,27.9769,-114.0611,23.63,63,15,7.12,MX,1697501366
278,mayenne,48.3333,-0.6667,7.69,50,100,4.74,FR,1697501424
279,al jawf,29.5,38.75,18.12,44,0,3.3,SA,1697501424
280,chos malal,-37.3781,-70.2709,14.61,25,0,4.14,AR,1697501424
281,oroqen zizhiqi,50.5667,123.7167,2.7,41,96,1.28,CN,1697501424
282,choibalsan,48.0667,114.5,5.32,59,87,4.97,MN,1697501425
283,pekalongan,-6.8886,109.6753,30.01,65,50,1.13,ID,1697501425
284,ishinomaki,38.4167,141.3,16.62,55,0,10.18,JP,1697501361
285,idritsa,56.3316,28.8988,1.94,89,34,3.96,RU,1697501425
286,karratha,-20.7377,116.8463,31.21,14,0,6.85,AU,1697501425
287,urengoy,65.9667,78.3667,1.17,97,100,1.79,RU,1697501425
288,baia,47.4167,26.2167,8.3,75,13,1.43,RO,1697501426
289,dunn,44.95,-91.8835,8.65,85,0,0.0,US,1697501426
290,okhotsk,59.3833,143.3,-5.49,70,48,10.0,RU,1697501426
291,aqadyr,48.2553,72.8483,5.86,58,15,2.41,KZ,1697501426
292,linhares,-19.3911,-40.0722,23.26,86,9,2.06,BR,1697501427
293,punta arenas,-53.15,-70.9167,8.95,57,98,7.04,CL,1697501427
294,quirinopolis,-18.4483,-50.4517,30.74,35,65,0.66,BR,1697501427
295,hono,57.6897,11.6497,11.2,89,29,11.22,SE,1697501427
296,puerto aysen,-45.4,-72.7,4.76,98,81,1.87,CL,1697501427
297,ilulissat,69.2167,-51.1,-7.99,73,75,10.8,GL,1697501427
298,al bardiyah,31.7561,25.0865,21.75,86,0,4.47,LY,1697501428
299,pergamino,-33.89,-60.5736,19.34,72,6,4.81,AR,1697501323
300,crane,31.3974,-102.3501,21.0,32,0,3.06,US,1697501428
301,qingdao,36.0986,120.3719,18.1,46,0,0.61,CN,1697501428
302,chazuta,-6.5742,-76.1367,28.47,80,81,0.4,PE,1697501428
303,labrador city,52.9463,-66.9114,2.3,79,38,2.63,CA,1697501428
304,miches,18.9836,-69.0476,26.42,85,74,2.96,DO,1697501428
305,mahina,-17.5065,-149.489,28.87,61,40,1.54,PF,1697501418
306,las tablas,7.7667,-80.2833,26.34,86,88,2.68,PA,1697501429
307,astara,38.5,48.6667,15.04,68,47,2.32,AZ,1697501429
308,new norfolk,-42.7826,147.0587,16.07,41,12,1.81,AU,1697501429
309,fort bragg,35.139,-79.006,13.75,65,100,1.54,US,1697501429
310,raja,8.4596,25.678,20.92,95,100,1.74,SS,1697501429
311,kiunga,-6.1219,141.2906,24.61,92,99,0.99,PG,1697501429
312,llandrindod wells,52.2416,-3.3787,6.88,89,100,5.06,GB,1697501430
313,las lomitas,-24.7096,-60.593,37.68,23,32,4.99,AR,1697501430
314,mary,37.0,62.5,14.62,32,0,4.79,TM,1697501216
315,fortuna,40.5982,-124.1573,19.4,96,75,0.45,US,1697501316
316,calabozo,8.9242,-67.4293,26.34,79,85,0.82,VE,1697501430
317,ginir,7.1333,40.7,14.04,82,98,1.9,ET,1697501430
318,margate,51.3813,1.3862,12.17,69,100,1.79,GB,1697501430
319,dosso,13.049,3.1937,28.9,44,87,3.55,NE,1697501430
320,lazaro cardenas,17.9583,-102.2,27.63,81,95,1.24,MX,1697501431
321,nova xavantina,-14.6667,-52.35,30.59,31,56,1.43,BR,1697501431
322,kasaragod,12.5,75.0,24.97,90,100,1.69,IN,1697501431
323,nadym,65.5333,72.5167,1.06,94,100,3.53,RU,1697501431
324,aykhal,66.0,111.5,-3.85,94,99,4.92,RU,1697501244
325,ambon,-3.6954,128.1814,29.37,95,40,2.06,ID,1697501431
326,warmbad,-28.45,18.7333,19.71,28,0,1.85,NA,1697501432
327,kpalime,6.9,0.6333,22.57,98,97,0.99,TG,1697501432
328,chifeng,42.2683,118.9636,10.72,33,54,2.24,CN,1697501432
329,trinidad,-14.8333,-64.9,30.06,46,18,2.1,BO,1697501432
330,gaiman,-43.2897,-65.4929,12.51,39,64,6.2,AR,1697501433
331,vilyuchinsk,52.9306,158.4028,9.15,87,100,10.67,RU,1697501433
332,tokar,18.4254,37.729,29.4,66,78,4.95,SD,1697501433
333,dakhla,23.6848,-15.958,22.16,81,96,4.84,EH,1697501433
334,grants pass,42.439,-123.3284,19.73,90,100,1.54,US,1697501433
335,yelizovo,53.1873,158.3805,9.08,66,75,8.0,RU,1697501434
336,hammerfest,70.6634,23.6821,0.25,100,100,4.12,NO,1697501434
337,bereeda,11.8704,51.0579,27.02,77,8,3.53,SO,1697501434
338,katabu,-4.9333,122.5167,29.57,54,58,3.74,ID,1697501434
339,rikaze,29.25,88.8833,3.3,56,67,1.75,CN,1697501434
340,kapoeta,4.7717,33.5903,21.5,89,100,2.08,SS,1697501435
341,sisimiut,66.9395,-53.6735,-7.13,86,91,5.66,GL,1697501435
342,galesong,-5.3166,119.3661,27.01,50,57,1.05,ID,1697501435
343,daru,-9.0763,143.2092,27.09,76,68,5.05,PG,1697501435
344,punta del este,-34.9667,-54.95,15.06,97,75,3.6,UY,1697501175
345,qui nhon,13.7667,109.2333,24.82,89,100,2.7,VN,1697501436
346,al jumum,21.6169,39.6981,27.02,62,7,1.78,SA,1697501436
347,port alfred,-33.5906,26.891,15.1,95,90,6.9,ZA,1697501436
348,port isabel,26.0734,-97.2086,21.04,60,0,4.02,US,1697501436
349,harstad,68.799,16.5293,3.23,98,99,0.45,NO,1697501437
350,codrington,-38.2667,141.9667,13.79,56,0,1.68,AU,1697501437
351,tungi,23.89,90.4058,26.0,83,40,0.0,BD,1697501437
352,san miguel,13.4833,-88.1833,24.82,95,100,1.08,SV,1697501437
353,arteche,12.2645,125.4048,28.05,76,93,1.28,PH,1697501437
354,faya-largeau,17.9257,19.1043,28.49,21,50,5.77,TD,1697501437
355,akrehamn,59.2667,5.1833,10.23,71,75,7.72,NO,1697501438
356,moyynkum,44.2914,72.9469,10.92,57,0,8.69,KZ,1697501438
357,shalqar,47.8333,59.6,9.42,60,0,3.96,KZ,1697501438
358,huautla de jimenez,18.1315,-96.8409,11.87,98,100,1.77,MX,1697501438
359,tarawa,1.419,172.984,27.89,79,100,6.71,KI,1697501223
360,nejo,9.5,35.5,13.73,97,99,1.0,ET,1697501238
361,sola,-13.8833,167.55,26.0,83,67,8.14,VU,1697501438
362,tolanaro,-25.0319,46.9987,21.41,84,100,0.8,MG,1697501438
363,zhangye,38.9342,100.4517,8.67,38,97,0.95,CN,1697501439
364,silute,55.3489,21.4831,6.4,61,29,3.81,LT,1697501439
365,alice springs,-23.7,133.8833,21.75,26,0,7.2,AU,1697501439
366,susuman,62.7833,148.1667,-17.79,83,4,0.89,RU,1697501439
